Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW12,OUT035,2615.504485
FDL51,OUT017,3553.760247
NCY42,OUT027,2949.711317
FDR07,OUT017,1849.346033
FDN40,OUT045,2252.525276
FDB35,OUT027,2638.01551
FDA22,OUT017,2730.180429
NCL06,OUT046,3653.451315
FDI35,OUT013,3218.430959
NCW42,OUT045,3422.811779
NCX06,OUT049,3219.013274
FDC37,OUT027,2663.289812
FDZ14,OUT018,1674.23713
DRG49,OUT049,4235.757255
NCG06,OUT045,3569.30434
DRC36,OUT045,2814.893115
FDV21,OUT019,357.2594574
FDB53,OUT046,2771.339733
DRP47,OUT019,585.1781834
FDA14,OUT013,2291.873714
DRC24,OUT035,2749.815145
FDW21,OUT018,1511.287443
NCH29,OUT046,1862.098811
FDU58,OUT013,3055.37344
FDY27,OUT017,2644.823537
FDV56,OUT035,1779.665115
FDT59,OUT046,4090.894908
FDB23,OUT046,3689.74166
FDR49,OUT045,880.27308
FDB03,OUT010,571.850076
FDN39,OUT045,2655.28663
FDX02,OUT027,5442.229462
FDQ16,OUT027,2784.833889
FDU35,OUT018,1534.599497
NCT29,OUT013,1907.346314
FDZ27,OUT046,867.1248225
FDN57,OUT017,2169.926365
FDA03,OUT018,2005.929008
FDZ36,OUT045,3125.453484
NCU05,OUT013,1227.647723
FDT39,OUT018,2236.053188
FDK60,OUT017,1665.175567
FDZ25,OUT017,3053.256956
FDG12,OUT046,2332.991296
DRB01,OUT019,445.5308608
NCC43,OUT027,5648.947267
FDX13,OUT019,544.1617992
FDM22,OUT049,963.0722827
FDJ03,OUT027,1899.952543
FDU14,OUT018,3400.265234
FDB33,OUT010,408.7863793
FDP27,OUT046,3211.440534
FDO38,OUT010,193.0405009
FDE28,OUT027,5807.992435
FDO27,OUT035,1771.069469
DRL23,OUT027,2624.646525
FDS28,OUT046,939.6063535
FDX24,OUT013,1413.79435
FDZ02,OUT035,1453.599504
FDL46,OUT045,1703.678736
FDS60,OUT027,4884.616655
NCO06,OUT017,644.681653
FDO16,OUT035,1635.755304
FDC60,OUT049,1530.995241
FDA48,OUT018,3411.959749
FDZ36,OUT027,4650.647084
FDK27,OUT045,1802.601356
FDW23,OUT018,869.1557435
FDM14,OUT018,1516.779904
FDM14,OUT013,1665.149335
FDW60,OUT018,2647.627696
FDE21,OUT013,1941.608974
NCM42,OUT035,1928.703045
FDY59,OUT010,184.9171271
DRI49,OUT049,1366.712019
FDT28,OUT019,304.5055861
FDQ22,OUT018,716.6374359
FDR60,OUT049,1170.080908
FDC50,OUT019,303.2835637
FDV24,OUT013,2416.280525
DRF48,OUT010,461.7114351
FDQ47,OUT046,955.0934837
DRN36,OUT049,1568.863474
NCY06,OUT035,2101.256908
FDE52,OUT035,1407.352794
NCB54,OUT045,1711.382741
NCF31,OUT035,2619.19212
FDJ08,OUT027,5221.063649
NCC07,OUT017,1787.238529
NCD19,OUT027,1947.532264
FDL46,OUT049,2024.475996
FDM20,OUT045,3972.535303
NCI06,OUT010,426.6736843
DRM11,OUT035,4090.653591
NCH07,OUT018,2430.688707
FDS23,OUT013,2007.850558
FDO49,OUT018,832.5442835
FDS35,OUT049,1146.956082
DRK39,OUT045,1334.03575
DRI39,OUT049,920.7626402
FDV04,OUT017,2260.762788
NCN14,OUT035,3025.324471
FDH08,OUT013,3870.701341
FDS20,OUT046,2982.256918
FDV40,OUT049,1178.638514
FDZ48,OUT010,220.6101745
FDS24,OUT027,2729.12584
FDK44,OUT049,2887.893342
FDS48,OUT045,2538.056163
FDK26,OUT010,537.2694651
FDD23,OUT045,3280.12293
NCH54,OUT017,2798.577662
NCP14,OUT010,255.816215
FDM60,OUT010,146.8873053
FDV24,OUT017,2369.758715
FDH08,OUT018,3087.904599
FDS12,OUT027,3174.593471
FDR39,OUT027,5252.796534
FDP12,OUT027,1775.845237
DRF60,OUT027,5226.712481
FDC09,OUT035,1808.691006
FDF50,OUT018,2957.856403
FDG28,OUT035,3790.811977
NCE19,OUT017,878.3223495
NCM53,OUT010,275.1244274
NCN18,OUT049,1732.246965
FDF32,OUT035,3384.761049
FDF11,OUT013,3824.04769
DRI59,OUT049,3933.895414
NCG54,OUT035,3009.095134
FDM44,OUT046,1550.252586
FDT57,OUT018,2600.583528
FDV24,OUT046,2499.640561
FDI50,OUT019,549.3185069
FDS09,OUT035,962.2517403
NCC31,OUT027,3960.742759
FDQ07,OUT019,466.8278587
FDC22,OUT017,3082.833457
FDZ56,OUT046,2660.808288
FDZ40,OUT019,155.3379617
FDS46,OUT027,2975.444672
DRD24,OUT045,1814.746882
FDV45,OUT017,3169.487902
FDL26,OUT045,2803.893439
FDA56,OUT018,1531.599132
FDN27,OUT046,1841.317315
FDM20,OUT049,4104.317779
FDO16,OUT017,1655.482661
FDL03,OUT035,3196.24575
FDE58,OUT046,2061.173749
FDI02,OUT027,2884.744124
NCC55,OUT019,145.4903297
FDR03,OUT018,2936.4702
FDB14,OUT017,1641.266768
FDR45,OUT013,3880.047301
NCN07,OUT017,2062.841448
FDM51,OUT019,273.3481804
FDT52,OUT027,5755.094687
FDL26,OUT046,2621.162203
NCZ42,OUT046,3116.67583
DRI47,OUT019,362.3659779
FDW40,OUT013,2221.812194
FDN34,OUT046,2961.922998
FDS01,OUT035,3175.583255
NCG55,OUT045,1751.500557
FDC11,OUT035,1416.148463
FDX35,OUT018,3075.139691
NCB06,OUT046,2634.26476
FDR09,OUT019,560.1823308
FDC53,OUT017,1703.531799
FDY45,OUT013,4000.664076
FDA22,OUT010,385.2939253
FDE02,OUT035,1747.095285
FDW21,OUT045,1664.424518
FDV34,OUT046,1254.290562
FDS59,OUT049,1908.722206
NCW17,OUT017,2204.466394
NCK54,OUT046,1940.883814
FDG17,OUT019,521.048199
FDG35,OUT017,3157.930178
FDD08,OUT010,157.455671
NCO07,OUT017,3668.720704
FDJ10,OUT010,274.2173554
FDW36,OUT017,1715.195685
FDW21,OUT010,270.9403657
FDY19,OUT017,1989.123138
DRE03,OUT013,746.8446827
NCC55,OUT049,859.1499293
FDH52,OUT010,168.9042218
FDO09,OUT017,4130.098859
FDU43,OUT045,3940.539403
FDX09,OUT010,436.8253083
FDH40,OUT019,208.0024468
FDW58,OUT017,1861.327838
FDC47,OUT017,4008.417856
NCR41,OUT035,1736.800233
DRG49,OUT035,4258.999235
FDC52,OUT027,4047.357896
FDY13,OUT046,1217.850895
FDY35,OUT013,807.2061136
FDI35,OUT017,3621.783893
NCU18,OUT049,2278.993934
FDY33,OUT018,2574.090332
FDC15,OUT027,3988.108567
FDU01,OUT049,2866.973708
NCU42,OUT046,2852.100979
NCV29,OUT018,2525.270061
NCY30,OUT017,3119.407574
FDQ46,OUT049,1839.799313
FDG58,OUT027,4085.102398
FDK33,OUT017,4145.514859
NCD07,OUT045,1695.383104
NCX29,OUT027,3583.524518
NCT42,OUT013,2550.884904
DRN59,OUT035,856.5998123
FDI44,OUT035,1449.891344
FDA45,OUT049,2438.992433
FDP31,OUT045,1096.39896
FDY01,OUT046,1963.464878
FDT09,OUT018,1843.840484
DRH03,OUT027,2636.631525
FDA36,OUT018,2607.780511
NCF31,OUT017,2449.263952
FDG14,OUT049,2451.016713
FDG28,OUT027,5757.448689
FDU14,OUT049,3728.243821
FDY47,OUT019,301.7135598
FDI56,OUT049,1436.052029
DRD01,OUT013,846.5273242
FDM22,OUT046,953.8382568
FDH33,OUT013,755.5608031
DRZ24,OUT013,1910.802273
NCQ38,OUT046,1624.079487
FDO16,OUT027,2418.757434
FDU07,OUT027,3925.100793
NCB07,OUT013,2836.741603
FDU48,OUT045,1813.895776
NCM43,OUT045,2594.492974
FDR31,OUT010,310.8213819
DRK49,OUT018,647.4836151
NCI30,OUT010,609.4820222
DRD60,OUT017,3216.966373
NCG19,OUT046,3172.514682
FDH12,OUT035,1580.049041
FDM32,OUT035,1634.815492
FDM27,OUT035,2673.054564
NCU53,OUT027,3940.884343
NCQ18,OUT046,1643.44741
FDS10,OUT013,3129.341192
FDB33,OUT027,4387.053931
FDI12,OUT013,1268.718148
NCW42,OUT013,3656.41809
NCC06,OUT018,1888.346006
FDW02,OUT017,2134.353936
NCD43,OUT017,1745.911771
FDM57,OUT018,1140.829991
FDA58,OUT017,3747.60207
FDK56,OUT046,2859.804328
FDP52,OUT045,3915.763071
FDW20,OUT018,1705.298022
FDS52,OUT049,1722.310986
NCT29,OUT018,1596.104688
NCL54,OUT013,2917.030709
FDC05,OUT045,2865.659464
FDF34,OUT035,3086.623416
FDP03,OUT027,3131.612214
FDD32,OUT010,179.9811869
FDZ10,OUT045,1776.671494
FDZ40,OUT035,910.7950935
FDD51,OUT018,756.7382302
NCY30,OUT019,410.1249146
FDP58,OUT017,3709.752442
FDV49,OUT017,4308.466357
FDY24,OUT019,205.411599
NCO55,OUT017,1618.313288
FDR13,OUT017,1900.905405
FDS51,OUT017,1018.871112
FDP26,OUT045,1413.273638
NCB54,OUT027,3320.721276
FDF32,OUT017,3244.071105
FDN31,OUT018,2806.759519
DRM48,OUT017,800.1130857
FDN20,OUT049,2925.726538
DRL01,OUT046,3748.801816
FDV56,OUT049,1663.511985
DRH13,OUT027,2608.932502
FDA03,OUT017,2498.506557
FDF47,OUT027,5432.757172
FDX32,OUT046,2654.523238
FDX57,OUT049,1773.550295
NCA30,OUT045,2747.700148
FDO49,OUT013,747.4806895
FDL04,OUT019,238.2962061
DRM48,OUT035,820.7414312
FDR16,OUT013,3421.583488
NCC19,OUT018,2860.708966
NCE42,OUT045,2851.154684
FDY24,OUT017,1201.084031
FDH19,OUT049,2747.286481
FDJ46,OUT013,2784.326667
FDN45,OUT010,522.8372366
FDY08,OUT035,2202.456632
FDZ37,OUT035,1547.890037
NCT30,OUT045,791.717892
DRY23,OUT018,698.833318
NCZ30,OUT018,1799.559151
FDC44,OUT018,1548.524842
FDB45,OUT035,1804.853701
FDY04,OUT013,2601.081595
FDM27,OUT046,2532.911098
FDZ43,OUT017,4272.346078
FDT39,OUT019,384.8433794
NCC06,OUT019,306.1393662
FDL15,OUT027,4061.348469
FDL57,OUT017,4477.376964
FDU08,OUT046,1503.487204
FDK40,OUT017,4083.879034
FDQ12,OUT010,462.5497583
FDS48,OUT017,2656.643906
FDP09,OUT045,3156.473985
FDW21,OUT049,1733.346488
FDY25,OUT035,3336.245736
DRE13,OUT017,1466.253467
FDV43,OUT019,147.0877154
FDD22,OUT045,1687.362618
FDM46,OUT019,290.8258116
NCO30,OUT010,493.1920604
FDM25,OUT046,2731.107108
NCN41,OUT049,1981.470761
FDU24,OUT045,1582.156036
FDZ50,OUT046,3171.377161
FDP45,OUT013,3939.694459
NCM54,OUT045,1778.995483
FDW10,OUT019,439.5388359
FDP20,OUT017,2075.408572
FDK32,OUT046,2566.764443
FDN52,OUT049,1273.235422
FDM58,OUT045,1744.586517
FDZ46,OUT027,2998.213601
NCA18,OUT018,1693.397368
FDD35,OUT046,1949.984739
NCK31,OUT035,895.9529559
FDI40,OUT027,2711.763067
FDT50,OUT019,211.4761464
NCT06,OUT046,2698.317059
FDT31,OUT035,3149.986689
FDT45,OUT049,953.4960266
FDT13,OUT045,2986.179871
FDO50,OUT045,1486.826549
NCU18,OUT010,288.6717016
NCR54,OUT049,3370.277872
NCO18,OUT018,2514.897852
FDU09,OUT045,858.1621263
FDT13,OUT018,2481.117721
FDE09,OUT046,1752.411657
NCK53,OUT019,251.6172363
FDG45,OUT049,3906.363302
DRH15,OUT035,798.613977
FDO21,OUT019,492.4912643
FDD14,OUT027,5166.45596
FDC09,OUT046,1642.933015
FDH45,OUT027,1753.714338
FDV32,OUT046,1203.459337
FDG12,OUT035,2166.277543
FDS32,OUT013,2147.396346
NCL55,OUT018,3512.928509
DRE01,OUT035,4181.98065
DRE15,OUT049,1264.259588
NCL42,OUT045,3489.094649
FDP31,OUT013,1040.475719
FDN33,OUT018,1333.249404
FDZ59,OUT046,2901.264592
FDE45,OUT010,412.7598539
FDJ07,OUT013,1733.075724
FDQ45,OUT018,2652.046687
FDM33,OUT027,5328.381243
FDO15,OUT010,201.3021855
FDM46,OUT013,1678.122939
FDR03,OUT045,2938.99634
FDY49,OUT018,2292.226686
FDQ60,OUT045,1818.626757
FDW10,OUT049,2451.030211
FDO51,OUT049,924.3760316
FDJ40,OUT018,1387.745306
FDS20,OUT018,2602.501392
FDU45,OUT013,2043.352095
FDV02,OUT035,2967.076337
FDN09,OUT046,3470.547213
NCM55,OUT027,4569.079227
FDN23,OUT018,2327.664251
FDY31,OUT010,374.937385
FDW03,OUT010,276.8972325
FDD14,OUT046,2936.758868
FDV23,OUT017,1870.072434
DRI03,OUT045,2471.232157
FDN13,OUT035,1499.959123
FDF45,OUT027,2116.860159
FDU46,OUT035,1590.555872
FDB57,OUT049,3562.224364
FDV12,OUT049,1680.18834
FDQ58,OUT013,2573.680006
NCA18,OUT017,1877.677517
FDH52,OUT049,954.5068409
FDM24,OUT018,2264.401989
NCP43,OUT027,4422.018123
NCO18,OUT019,378.4382082
FDM32,OUT017,1455.578865
NCL07,OUT017,744.2357906
FDK03,OUT013,4192.131621
FDP59,OUT017,1804.399314
FDQ24,OUT049,3941.252672
FDQ16,OUT018,1406.35123
FDU44,OUT013,2522.133452
FDH28,OUT010,151.61023
FDV28,OUT019,153.2660934
FDM22,OUT045,892.0629409
FDR56,OUT046,2844.966123
FDV39,OUT049,3036.376052
FDU37,OUT019,247.9864735
FDQ11,OUT010,612.4243062
FDX02,OUT045,3838.43955
NCS42,OUT018,1439.689093
FDY57,OUT027,2859.29751
FDB21,OUT049,3666.534099
FDE28,OUT017,3612.00611
FDQ55,OUT017,2068.358885
FDA48,OUT049,3602.521706
FDZ19,OUT045,2438.843789
NCC43,OUT045,3310.827873
NCV18,OUT046,1500.334633
NCA42,OUT018,2603.620377
FDY45,OUT046,3534.665638
NCC30,OUT045,2851.317297
FDM57,OUT013,1426.403234
FDL09,OUT010,400.0510117
FDB09,OUT027,3419.029339
FDT44,OUT035,1898.792072
NCT06,OUT027,4293.933333
FDX26,OUT049,3343.357739
FDK32,OUT013,2610.474131
DRA12,OUT046,2009.441072
FDO46,OUT010,497.9738311
FDE52,OUT013,1308.370877
NCH42,OUT045,3379.623868
FDV08,OUT035,858.0569321
FDB47,OUT018,2779.823491
FDC28,OUT010,225.7286944
FDD22,OUT046,1874.459085
FDS07,OUT027,3184.800201
DRI13,OUT045,3286.52875
FDG32,OUT018,3403.915507
FDU14,OUT017,4087.851866
FDD28,OUT019,165.4113635
NCP41,OUT017,1818.273487
FDS08,OUT049,2772.008402
FDX47,OUT045,2476.190278
FDC53,OUT019,238.6279101
FDQ19,OUT035,3682.579276
FDL14,OUT045,2568.660624
FDM33,OUT019,545.9938271
FDA51,OUT045,1827.182662
FDZ27,OUT018,844.1077004
FDT04,OUT046,715.9175087
DRC13,OUT049,1950.382597
FDR16,OUT027,5066.55895
FDQ03,OUT027,5729.192348
FDE38,OUT035,2825.792989
DRH23,OUT027,2132.276771
FDT11,OUT019,508.7395067
FDD09,OUT035,3135.190814
FDR40,OUT045,1357.927551
FDX07,OUT017,3171.053583
FDR07,OUT035,1913.471872
FDA51,OUT017,1945.355753
FDT59,OUT019,540.1830203
FDF20,OUT017,3143.528232
FDR13,OUT045,1709.606381
FDY26,OUT049,3410.403409
FDW04,OUT017,1954.63726
FDK52,OUT017,4067.640708
FDN60,OUT049,2775.698238
FDM09,OUT019,408.9426738
FDP46,OUT049,1524.928138
FDB50,OUT019,266.5347243
NCQ29,OUT049,3709.088318
FDP16,OUT027,5439.317216
FDX33,OUT018,2553.795555
FDP07,OUT010,479.8985477
FDN22,OUT046,3560.051474
FDF39,OUT049,4025.671803
FDS21,OUT017,1045.524651
NCM42,OUT013,1689.920496
FDK50,OUT019,442.8490911
DRF13,OUT027,3634.598855
FDH35,OUT018,2384.437271
FDP60,OUT018,1393.905896
DRJ49,OUT027,2744.933619
NCT42,OUT019,389.1881313
FDE38,OUT049,2588.308916
FDI04,OUT049,3337.309336
NCH54,OUT045,2740.74432
FDT56,OUT049,1016.148387
DRD15,OUT018,3108.449862
FDV58,OUT013,2895.655693
FDP21,OUT049,3263.629462
FDH05,OUT013,3669.973225
FDR10,OUT027,4273.747975
NCP06,OUT045,2308.2769
FDF33,OUT049,1921.376199
DRK37,OUT013,3259.913315
DRH49,OUT045,1284.971535
FDT58,OUT013,2709.973528
FDD41,OUT018,1425.747078
FDP40,OUT018,1819.235986
FDM51,OUT027,2798.097378
FDO45,OUT010,196.3051567
FDW33,OUT010,281.7947712
FDY24,OUT045,1176.956203
FDB10,OUT010,528.8481344
FDM40,OUT035,2112.992843
NCI06,OUT017,3214.266691
FDW12,OUT019,316.1705755
FDX48,OUT027,4252.603238
NCW05,OUT027,2990.913101
FDX27,OUT017,1610.121596
DRM37,OUT045,3023.933744
FDA38,OUT045,3745.687949
FDR36,OUT046,862.348867
FDZ45,OUT046,3075.979346
FDG05,OUT017,2484.107205
FDK28,OUT013,4471.759837
FDV47,OUT045,1362.577562
FDN21,OUT045,2652.901769
FDP20,OUT027,3379.950938
FDI35,OUT045,3113.840584
DRY23,OUT013,729.956871
FDA56,OUT017,2103.661745
FDB09,OUT013,1921.96274
NCO26,OUT027,2818.667841
FDQ49,OUT018,2593.22398
FDI52,OUT027,2985.985269
FDZ44,OUT027,3262.753052
FDZ09,OUT018,2520.548588
FDY03,OUT049,2077.694031
NCG42,OUT017,2230.553871
DRI13,OUT027,5724.911455
FDQ32,OUT013,2017.301725
FDW16,OUT035,1338.162701
FDU27,OUT046,867.9607213
FDR28,OUT010,388.4274499
FDQ49,OUT010,409.033191
FDS37,OUT046,1904.041388
FDW26,OUT018,3156.959735
FDX12,OUT018,3170.402215
NCP06,OUT013,2466.411145
FDW45,OUT010,363.2583161
NCN30,OUT049,1649.284637
FDN24,OUT049,917.9714588
NCL41,OUT027,1718.70503
FDR02,OUT019,271.9646713
FDD09,OUT010,436.1054317
FDS33,OUT010,191.8902685
FDU22,OUT045,1739.768916
FDI53,OUT013,2365.168035
DRH01,OUT049,2871.911837
FDX32,OUT013,2291.023921
NCP30,OUT018,720.0145311
FDB60,OUT045,2881.485442
FDB14,OUT049,1450.696494
NCP02,OUT035,942.4951653
FDJ10,OUT017,2056.702237
FDG34,OUT046,1869.391277
NCB18,OUT017,1504.954001
FDM16,OUT049,1142.849434
FDW25,OUT018,1415.199106
FDB35,OUT010,189.2005221
DRN11,OUT013,2263.798177
FDF41,OUT019,560.4077034
FDH16,OUT045,1333.105389
NCQ50,OUT018,2935.362398
DRH23,OUT018,859.5648767
DRJ37,OUT013,2504.759135
DRJ24,OUT027,4789.228193
FDY16,OUT035,3179.28065
FDQ27,OUT045,1746.895193
FDZ33,OUT045,2509.236946
FDF29,OUT045,1924.731689
FDA08,OUT049,2912.824752
FDG31,OUT046,1039.457251
FDE34,OUT019,403.6171452
NCR30,OUT027,2235.411192
FDV33,OUT035,4161.165209
DRZ24,OUT018,1627.234802
NCL54,OUT035,3029.915721
FDR12,OUT049,3189.966018
NCC54,OUT046,3918.281785
DRN59,OUT013,748.7312648
FDX50,OUT019,243.2318289
FDV31,OUT027,4887.15336
NCA29,OUT027,4619.823205
FDW60,OUT049,3246.522947
FDX08,OUT017,3127.167175
DRD49,OUT013,3805.502233
FDD33,OUT046,3606.68406
FDW35,OUT013,821.7961467
FDJ36,OUT017,1752.025732
FDV51,OUT035,3025.622628
FDW36,OUT046,1701.292513
FDH35,OUT046,2840.821779
NCS30,OUT027,3029.348267
FDN49,OUT017,781.5951861
FDL08,OUT018,3008.617332
FDI09,OUT013,3560.404747
FDP19,OUT018,1750.557933
FDU21,OUT010,146.8708043
NCP41,OUT045,1545.978667
FDY10,OUT013,1906.047843
FDP12,OUT018,720.7994665
NCN26,OUT049,2086.875501
FDK44,OUT013,2842.720505
FDC28,OUT049,1619.36345
FDJ41,OUT027,5800.835227
NCT29,OUT035,1948.645731
NCH42,OUT019,444.4615672
FDU60,OUT018,2564.945481
FDS02,OUT045,3004.228192
FDC51,OUT046,2077.633979
FDU03,OUT013,3152.274596
FDX39,OUT045,3339.336708
NCY05,OUT010,156.078199
NCL06,OUT027,5548.637468
FDD32,OUT035,1476.173717
NCN41,OUT045,1757.343414
NCX53,OUT049,2237.508683
FDU57,OUT019,321.9940206
FDQ23,OUT046,1865.817035
FDQ52,OUT045,4216.124361
FDC14,OUT045,768.2778465
FDY09,OUT035,3377.410552
FDQ28,OUT045,2601.081581
FDV25,OUT046,4030.307963
FDJ07,OUT035,1951.927226
DRB25,OUT049,1580.964681
FDK52,OUT019,583.9828325
FDY52,OUT027,1998.022416
FDB28,OUT046,3200.023915
FDT36,OUT035,757.5501932
FDV25,OUT017,4122.579929
NCN07,OUT027,3061.273297
FDC57,OUT017,3223.997227
FDQ03,OUT018,3384.413813
FDU23,OUT017,2952.809211
NCX41,OUT035,3762.933502
NCD06,OUT035,874.813861
FDW08,OUT045,1486.601832
NCU29,OUT017,2476.560888
NCE06,OUT013,2575.533877
FDV52,OUT010,234.5623118
FDB02,OUT017,3064.317959
NCR18,OUT045,706.5382659
FDK16,OUT049,1472.159391
NCQ29,OUT010,588.3041474
FDZ01,OUT019,271.042727
FDW27,OUT035,2469.693719
FDD17,OUT018,3461.56548
FDW39,OUT013,2826.048075
DRH59,OUT045,1048.081333
FDS52,OUT013,1503.094491
FDU40,OUT027,5580.637591
NCF54,OUT013,2790.141062
FDH46,OUT045,1611.570433
NCP14,OUT049,1710.561171
FDH50,OUT049,3123.226929
DRF15,OUT010,350.6672908
FDV27,OUT027,2619.488573
NCJ06,OUT049,2167.36855
FDN02,OUT018,2902.114847
FDQ51,OUT049,975.7829128
FDQ07,OUT017,4248.180837
FDS45,OUT049,1873.382087
NCJ06,OUT045,1808.138934
FDD36,OUT035,1959.616013
FDY25,OUT045,2971.679133
FDU52,OUT046,2500.321693
DRK47,OUT017,3919.265478
NCL30,OUT017,2081.63004
FDN22,OUT035,3905.800201
NCF30,OUT027,3217.643066
FDK03,OUT035,4392.950948
FDT45,OUT017,924.4953138
NCC54,OUT027,5306.485226
FDP08,OUT018,3052.436937
FDU44,OUT046,2733.21366
DRG39,OUT035,864.6013605
FDU32,OUT049,1995.409192
FDY27,OUT049,2993.513615
NCP54,OUT013,2019.417679
NCZ41,OUT049,1999.517797
DRL49,OUT013,2337.889039
FDI05,OUT018,1076.989856
FDY56,OUT045,4082.014502
DRC13,OUT013,1891.685372
NCV29,OUT017,2978.608751
FDR24,OUT049,1293.004235
FDZ34,OUT018,2754.361645
FDP37,OUT035,1985.702343
FDX08,OUT027,5204.905711
FDS57,OUT045,1988.129364
NCG18,OUT049,1755.365558
FDK25,OUT018,2670.247433
FDH53,OUT049,1414.723447
DRI59,OUT018,3108.570453
FDA52,OUT046,2790.739619
FDT20,OUT010,153.6474816
FDE36,OUT019,488.6707281
FDI24,OUT017,2816.186034
FDB28,OUT018,3086.566587
FDV11,OUT017,2749.368647
FDP01,OUT046,2436.418859
FDD34,OUT027,4046.100835
FDJ50,OUT027,2008.617046
FDZ44,OUT013,1789.289195
DRO59,OUT035,1361.964814
DRB48,OUT045,793.7095924
FDR21,OUT018,2686.854244
NCE42,OUT010,590.8779656
FDO23,OUT046,1560.216223
NCE30,OUT018,3000.670342
FDQ22,OUT035,782.3769652
FDY01,OUT045,1879.474791
FDS08,OUT017,2563.83329
FDG28,OUT018,3356.399682
FDQ51,OUT018,805.8097193
FDB05,OUT017,4209.638781
FDO56,OUT049,2051.377805
FDE02,OUT018,1259.447702
FDN45,OUT017,3863.79383
FDS09,OUT013,791.9006793
NCA54,OUT018,2582.06396
FDP09,OUT010,515.410271
FDC53,OUT045,1321.586733
NCM55,OUT017,3193.855132
FDL09,OUT018,2637.548213
FDA11,OUT019,284.8363026
FDA50,OUT045,1473.188741
FDC23,OUT017,3545.026209
FDE22,OUT049,2708.239126
FDD23,OUT046,3490.611282
NCA29,OUT049,3372.843932
FDK38,OUT046,2453.979233
DRC13,OUT046,1934.657367
NCP43,OUT049,3082.398193
FDX28,OUT049,1521.88423
FDF08,OUT049,1434.744534
FDZ33,OUT046,2491.58103
FDD10,OUT049,2677.08807
FDO58,OUT017,2666.553128
FDI50,OUT017,4023.851972
FDO58,OUT045,2642.391225
FDX08,OUT013,3290.395718
NCK17,OUT010,153.7209732
FDF39,OUT035,4789.28777
FDU45,OUT010,285.0943988
NCJ18,OUT018,1709.594909
DRC27,OUT019,512.7028469
DRC25,OUT035,1475.072632
FDU59,OUT035,2529.430396
FDU28,OUT035,3198.406686
NCP30,OUT046,747.6797948
FDB39,OUT018,889.9545131
FDE41,OUT013,1350.588002
DRH11,OUT010,171.4875874
FDA58,OUT045,3453.358769
FDU50,OUT046,1742.43714
FDM34,OUT013,2175.306088
FDM44,OUT027,2946.716444
FDR39,OUT045,2830.74426
FDM25,OUT045,2790.345492
FDQ49,OUT049,2422.073335
DRH25,OUT018,817.2683426
FDM09,OUT027,4303.562778
FDL44,OUT019,416.6049315
NCR42,OUT018,667.7890335
DRL59,OUT046,860.9787954
FDX43,OUT013,2584.560123
DRK47,OUT010,522.1081809
FDU48,OUT018,1533.158227
FDY12,OUT045,913.4648247
NCN43,OUT018,1627.549298
NCM55,OUT018,2564.659575
FDQ21,OUT027,3335.375407
FDX13,OUT035,4249.037696
NCK30,OUT027,5487.729023
FDG20,OUT049,2887.83763
DRG27,OUT017,768.91689
FDY14,OUT018,3618.390881
FDP59,OUT035,1870.499497
FDU60,OUT017,2884.425801
NCC18,OUT019,509.5780726
DRJ39,OUT017,3803.391127
FDS07,OUT049,1918.958228
FDM08,OUT027,5511.991942
FDP51,OUT045,1787.89437
FDU16,OUT035,1355.262886
FDH12,OUT013,1753.185099
DRE48,OUT010,479.8679638
NCL42,OUT027,5370.717848
